Entity,Year,0-4 Years,5-14 Years,15-49 Years,70+ Years,50-69 Years
Indonesia,2005,1787.6461961312866,2334.299144641502,34245.40273656648,46055.198540745645,66211.60437077095
Indonesia,2010,1560.7403075235552,2391.282745750042,35989.138361387464,54405.85482334125,73586.23592589985
Indonesia,2015,1229.9760607239605,2306.454908880787,36440.99242200956,63669.92842561035,84303.9336050143
Indonesia,2017,1103.5694426369716,2241.738498846888,36612.961156476,68173.16398414716,90703.43565879598
Iraq,2000,269.94705709725673,614.2388591458678,3520.924898870079,2673.54124374286,4546.600686073106
Iraq,2005,329.9273626980173,703.9021727619719,3557.7471466218544,2707.02604082628,4680.951338440575
Iraq,2010,311.8096808582785,695.4416508404328,3341.8968267807727,3043.8731225185716,4917.737600902186
Iraq,2015,317.6912357100855,655.3772407558024,3244.0951538237005,3670.765239273962,5156.463630042875
Iraq,2017,320.17967713527537,652.4667694874663,3375.7930160290266,4025.854685344291,5405.613788233496
Ireland,2000,10.482996186409249,22.063918174527398,589.6246879945207,4773.770402915351,2698.2902907136067
Ireland,2005,9.805643079274496,20.256323977545527,571.1835053892511,4864.031939989862,2712.9384213001417
Ireland,2010,10.651770512305287,18.340865009577836,579.4077146624859,5192.34330880214,2817.3993581425584
Ireland,2015,8.177632740368526,16.785526697082446,512.2529008757106,5715.123944396053,3023.384343876227
Ireland,2017,7.368160346432921,17.013161506541838,501.16641856969613,5992.240848454787,3062.7396019503017
Israel,2000,26.365309641530377,46.71936199554404,885.0479174187423,6139.123320699501,3154.020906304209
Israel,2005,26.885717439110213,47.69864024133393,856.157046105358,6509.2511518350475,3399.501795329082
Israel,2010,26.958524374889407,49.75653748812671,809.742085372773,7209.811383517524,3638.820678762821
Israel,2015,24.48134988501265,47.523661294167404,802.6163042528655,7557.579490504527,4108.0266368031125
Israel,2017,24.367614507297038,47.60643661313622,855.335466054204,7930.59063109701,4108.100588480231
Italy,2000,106.26383241418556,236.0223643608538,8478.856554414811,103657.51336497118,54148.694108509124
Italy,2005,100.31135704762971,199.9960591296874,8033.25806645005,111242.83941615882,50061.19268539816
Italy,2010,100.2769886577072,188.67556249832538,7811.049448641133,121375.27555489205,47381.19369075782
Italy,2015,85.39620536826246,171.79384466426924,7098.6058129571875,129315.80842710836,48401.71235364286
Italy,2017,76.62083933382883,182.64627861509257,6538.308532243687,127058.96393248904,46720.24556484988
Japan,2000,210.16395270151278,380.8346112609112,15946.470843577117,187585.06569968452,110161.121793146
Japan,2005,186.58620343284576,334.6177511757465,13342.173712917851,230962.58315679262,107062.04266269543
Japan,2010,168.43346331413537,303.08431927444883,12332.338681483576,266936.79800631024,104180.86907441012
Japan,2015,147.30807396257904,281.56822712136176,11105.87033748332,296880.2352471869,94843.25951340132
Japan,2017,136.36949554763746,265.6936504701754,11155.217897200651,311071.90988729673,92068.88723109863
Jordan,2000,52.7743921489759,114.18024522715382,530.3687575054045,437.894755207296,824.0037738550274
Jordan,2005,47.42535026884699,107.40479467224836,614.5117307081805,604.9218600155592,955.8128152179344
Jordan,2010,55.46052612986945,77.9082130768538,679.7200357067262,959.7024949880037,1147.2414173013
Jordan,2015,60.60555543395484,89.46286299290169,865.9292647815802,1395.987517293755,1554.8855399408246
Jordan,2017,62.06007775458861,92.88703976362137,944.1421959787604,1592.7686565442016,1810.194204797232
Kazakhstan,2000,80.36659407916378,180.93656624572566,3545.2404052554216,6274.994397846338,9963.796632141954
Kazakhstan,2005,78.15164109422663,142.85064649686555,3475.51853398932,6094.269486589918,10362.400706867531
Kazakhstan,2010,105.85233043189956,107.49470617040359,2907.9307187929167,7100.436986555884,9072.90976531573
Kazakhstan,2015,105.91283876949477,128.68618362780066,2391.138663315177,5775.322684830749,9164.622321029512
Kazakhstan,2017,102.16254847443878,132.12655980937174,2438.2374353156324,5771.795926757442,9955.308436774012
Kenya,2000,322.6941207645193,324.571662819391,2829.0235126570037,3355.7435165104,5486.503049250577
Kenya,2005,355.91858039231215,388.9359903288722,3383.525265930692,3937.488943745564,6282.050846832681
Kenya,2010,396.4271250912192,493.6240220502237,4134.319127057026,4715.937597473369,7782.817651195397
Kenya,2015,398.5678483789419,502.5934602727759,4540.7594474000625,5568.964120199583,8966.167599744318
Kenya,2017,434.06192527501327,518.2782485832698,4789.661295680498,6008.701194552579,9622.001112760508
Kiribati,2000,0.8359475679383698,0.9140278147742024,19.585109877347694,16.44011663822902,25.905330601497266
